REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,TIME_PERIOD,OBS_VALUE,UNIT_TYPE_ID,UNIT_TYPE_NAME
ISL,Iceland,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,121628756.3,CUR,Currency
IND,India,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,7.54896870822033,RATIO,Ratio
IND,India,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
IDN,Indonesia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,8.66800287577668,RATIO,Ratio
IDN,Indonesia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
IRN,"Iran, Islamic Rep.",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,17.6074020608838,RATIO,Ratio
IRN,"Iran, Islamic Rep.",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
IRQ,Iraq,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,8.50937054007903,RATIO,Ratio
IRQ,Iraq,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
IRL,Ireland,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.536207188976373,RATIO,Ratio
IRL,Ireland,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
ISR,Israel,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.31528731326204,RATIO,Ratio
ISR,Israel,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
ITA,Italy,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.0389472175696,RATIO,Ratio
